feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis	PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6151..S.adenosyl.L.methionine.cycle.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.6168..flavin.biosynthesis.III..fungi.	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6700..queuosine.biosynthesis	PWY.6897..thiamin.salvage.II	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7242..D.fructuronate.degradation	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	TRNA.CHARGING.PWY..tRNA.charging
MSM9VZOU	252.308	335.826	450.823	413.519	365.778	394.122	313.865	796.919	332.778	312.298	310.159	371.085	177.236	524.605	297.504	264.827	334.382	384.327	382.057	260.15	431.892	447.952	554.213	364.094	359.05	486.767	293.864	457.011	301.746	359.05	371.085	399.716	394.017	533.292	417.94	202.881	253.576	210.515	505.183	443.921	502.853	252.533	307.018	289.313	314.227	431.892	220.668	348.28	214.071	427.023
MSM9VZOW	317.174	433.337	492.52	454.07	389.406	426.135	371.149	1034.17	384.38	404.797	388.47	435.992	123.186	586.327	396.068	356.062	417.718	410.147	439.885	336.905	531.24	521.348	699.446	396.667	383.376	474.571	282.241	525.513	368.758	383.376	428.962	465.061	456.937	611.009	485.54	262.207	334.158	277.513	526.475	519.387	504.743	203.144	369.078	279.702	373.965	531.24	266.964	382.2	259.688	463.719
MSM9VZOY	305.913	416.973	604.391	518.228	449.101	521.222	265.113	835.183	430.989	422.123	413.835	486.63	148.124	695.529	351.792	355.845	431.662	489.132	461.397	238.021	562.951	632.978	477.162	496.681	484.632	540.753	477.21	596.054	428.037	484.632	486.63	514.887	509.53	624.631	559.059	264.142	332.121	140.577	643.942	556.505	562.823	258.251	369.804	367.68	261.64	562.951	255.631	434.181	208.268	554.263
MSM9VZP1	328.984	408.386	497.772	446.59	386.833	438.659	329.892	993.332	346.043	416.711	397.205	411.601	294.054	599.262	351.475	305.897	394.247	407.765	387.902	291.727	472.829	514.365	604.992	400.812	386.128	547.758	316.587	515.535	345.892	386.128	411.601	409.528	426.88	525.875	440.846	242.944	274.229	256.786	605.818	510.689	563.254	295.354	358.252	324.764	330.186	472.829	288.548	393.175	244.477	443.148
MSM9VZP3	386.77	471.496	512.916	440.352	395.044	463.181	390.412	1092.68	375.534	462.517	413.171	461.625	191.607	629.156	413.758	404.212	456.955	411.412	438.457	370.858	520.286	485.726	635.803	432.334	425.199	566.467	296.654	546.914	390.484	425.199	457.404	455.133	474.273	544.505	497.464	255.92	353.992	295.963	579.594	536.295	579.183	197.691	401.819	279.667	389.696	520.286	335.507	430.641	273.22	477.447
MSM9VZPH	322.022	436.264	395.18	447.697	386.306	366.864	301.766	653.328	377.683	355.174	368.728	416.784	290.08	471.784	391.92	329.453	415.358	395.164	392.5	267.463	443.189	478.257	470.381	397.731	384.578	304.147	351.136	404.699	354.216	384.578	433.543	427.061	423.94	491.62	417.472	315.503	327.761	220.88	514.983	475.879	335.638	90.352	351.218	315.085	324.712	443.189	302.934	409.134	329.766	443.996
MSM9VZPL	231.896	437.192	478.098	458.936	390.885	416.97	302.785	677.873	413.657	330.571	351.106	432.264	216.309	587.715	340.606	346.19	383.336	420.959	414.524	276.941	471.338	560.736	408.489	428.012	419.075	358.252	389.291	466.06	438.324	419.075	447.723	460.322	456.349	550.962	512.048	263.694	376.209	163.197	589.568	466.376	409.908	235.998	314.817	323.487	301.703	471.338	251.289	457.388	269.903	483.483
MSM9VZPN	268.36	482.316	489.925	450.908	389.015	431.71	273.627	718.334	425.249	365.941	370.983	440.527	262.129	601.398	361.299	365.104	412.857	409.976	414.983	298.136	455.62	541.351	482.192	431.355	420.482	393.973	420.515	493.638	414.533	420.482	458.626	462.944	460.777	575.849	509.795	299.613	362.52	146.883	598.313	489.473	426.202	204.954	339.042	311.461	276.27	455.62	301.462	445.716	314.077	487.242
MSM9VZPT	250.17	346.47	312.458	375.404	333.191	286.726	199.929	391.756	281.874	349.494	333.492	389.451	204.788	483.329	351.763	260.189	446.565	333.854	351.983	148.844	340.619	475.472	418.912	386.808	391.436	307.624	264.603	355.459	226.915	391.436	373.903	382.813	388.992	525.7	316.775	193.259	275.572	96.5057	506.202	499.786	352.934	47.9312	275.696	166.465	189.891	340.619	281.939	248.645	227.114	498.81
MSMA267V	243.388	436.241	511.908	514.366	353.925	453.323	251.33	524.159	403.153	283.745	307.855	486.147	152.657	668.694	395.733	339.231	530.57	365.014	437.17	224.584	519.301	627.209	419.802	466.362	468.774	417.722	415.55	501.457	276.062	468.774	456.474	495.652	488.335	601.083	528.81	236.83	343.486	189.733	611.855	542.022	437.02	156.167	384.377	285.715	251.92	519.301	304.703	331.576	216.095	571.135
