TaxaID	superkingdom	phylum	class	order	family	genus	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
Shigella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	0.216346153846154	0	0	0.00304602632042017	0	0.0649087221095335
Mogibacterium	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Mogibacterium	0.288461538461538	0	0	0.00687405949855241	0.00205444435994288	0.0955284552845529
Streptococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.759615384615385	0.00201715954728003	0.0748016281404502	0.14329844347045	0.229189288234975	0.929292929292929
Massilistercora	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Massilistercora	0.0673076923076923	0	0	0.000266997626489694	0	0.0082135523613963
Romboutsia	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	0.0528846153846154	0	0	0.000169043055862815	0	0.00617283950617284
Pseudobutyrivibrio	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	0.0480769230769231	0	0	0.000228335599613398	0	0.0104166666666667
Lactobacillus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.182692307692308	0	0	0.00389122667672401	0	0.140243902439024
Roseburia	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	0.163461538461538	0	0	0.00149377925911301	0	0.029045643153527
Lachnoclostridium	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	0.139423076923077	0	0	0.00114445739894214	0	0.0404858299595142
Ruthenibacterium	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruthenibacterium	0.125	0	0	0.000890812115123484	0	0.033195020746888
Staphylococcus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	0.658653846153846	0	0.00625	0.0326524563607424	0.026635078878177	0.523232323232323
Oscillibacter	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	0.0961538461538462	0	0	0.0004137181878408	0	0.0226337448559671
Lacrimispora	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lacrimispora	0.120192307692308	0	0	0.000345248353821042	0	0.0103734439834025
Acinetobacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	0.245192307692308	0	0	0.00686746115929681	0	0.553752535496957
Phocaeicola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	0.0817307692307692	0	0	0.000365858126917222	0	0.0120724346076459
Megasphaera	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	0.168269230769231	0	0	0.00167414214189156	0	0.0601659751037344
Salmonella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	0.225961538461538	0	0	0.00291871710667284	0	0.104513064133017
Enterobacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	0.225961538461538	0	0	0.00209940903846451	0	0.0607966457023061
Enterococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	0.269230769230769	0	0	0.00214874202550383	0.00202122438964544	0.0783847980997625
Hungatella	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hungatella	0.0721153846153846	0	0	0.000246204256342667	0	0.00813008130081301
Enterocloster	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	0.0817307692307692	0	0	0.00034517175953324	0	0.0121457489878543
Eubacteriales_unclassified	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Eubacteriales_unclassified	0.0384615384615385	0	0	0.000147270989027746	0	0.00616016427104723
Veillonella	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0.442307692307692	0	0	0.027144448666583	0.0293568327449231	0.456565656565657
Ligilactobacillus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.0336538461538462	0	0	0.000287129648536781	0	0.0282828282828283
Ralstonia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	0.221153846153846	0	0	0.00797679009758498	0	0.228105906313646
Peptacetobacter	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptacetobacter	0.129807692307692	0	0	0.0015261495113054	0	0.0472279260780287
Gemella	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales_unclassified	Gemella	0.394230769230769	0	0	0.0134058641634038	0.0205241453045847	0.186991869918699
Flintibacter	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Flintibacter	0.0769230769230769	0	0	0.000285057970769	0	0.0121457489878543
Bacillus	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	0.0865384615384615	0	0	0.00141783900055278	0	0.156769596199525
Intestinimonas	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Intestinimonas	0.0625	0	0	0.000168070120170906	0	0.00625
