TaxaID	superkingdom	phylum	class	order	family	genus	species	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
29581	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium lividum	0.0817307692307692	0	0	0.00027682224779323	0	0.010183299389002
350688	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Alkaliphilus	Alkaliphilus oremlandii	0.0432692307692308	0	0	0.000131154480669628	0	0.00442477876106195
1134687	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	0.0240384615384615	0	0	0.000212120752526658	0	0.0204081632653061
87541	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii	0.0913461538461538	0	0	0.000325847227343856	0	0.0102040816326531
29385	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus	0.0673076923076923	0	0	0.000217984455035062	0	0.0101010101010101
1408186	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii	0.0336538461538462	0	0	0.000111667298262872	0	0.00625
2382163	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus koreensis	0.120192307692308	0	0	0.000363766106592049	0	0.00808080808080808
1305	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	0.331730769230769	0	0	0.00362335145040821	0.00205871326693193	0.217038539553753
119206	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus sanguinicola	0.0336538461538462	0	0	0.000118624083242931	0	0.0102040816326531
760570	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	0.264423076923077	0	0	0.00268125869781667	0.00202225090663225	0.0628803245436105
321846	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas simiae	0.0144230769230769	0	0	0.000564873996048085	0	0.101214574898785
1404	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium	0.0384615384615385	0	0	0.000196864300861171	0	0.0184049079754601
28901	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	0.206730769230769	0	0	0.00228134050214112	0	0.0973871733966746
29382	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii	0.0288461538461538	0	0	0.00010922268105486	0	0.0125260960334029
203275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia	0.0384615384615385	0	0	0.000196298967154874	0	0.0184049079754601
28116	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	0.0240384615384615	0	0	0.000109543270821702	0	0.0145833333333333
889201	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus	0.221153846153846	0	0	0.00174079294957957	0	0.0432989690721649
2696060	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. CLZ	0.235576923076923	0	0	0.00349426574553156	0	0.269938650306748
67780	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	Edwardsiella ictaluri	0.0576923076923077	0	0	0.000158327052736784	0	0.00628930817610063
584	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis	0.0432692307692308	0	0	0.000170925210791192	0	0.0170575692963753
34062	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella osloensis	0.399038461538462	0	0	0.0361411709353364	0.0101421135255722	0.552083333333333
1440052	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii	0.0480769230769231	0	0	0.000118611226636598	0	0.0040650406504065
1613	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	0.0480769230769231	0	0	0.000904756945078379	0	0.102137767220903
267747	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	0.514423076923077	0	0.00200803212851406	0.0205887054607405	0.010842803030303	0.473895582329317
1587	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	0.0336538461538462	0	0	0.000139148446683789	0	0.0102040816326531
1938606	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. LM6	0.177884615384615	0	0	0.00107001414866934	0	0.0317124735729387
747	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	0.0625	0	0	0.000464884811586999	0	0.0434782608695652
208596	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium sp. 17-4	0.100961538461538	0	0	0.00030639544735581	0	0.0105042016806723
614	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia liquefaciens	0.0288461538461538	0	0	0.000139762665094896	0	0.0122199592668024
294	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	0.0721153846153846	0	0	0.000350904253461816	0	0.0122699386503067
430522	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter steynii	0.0192307692307692	0	0	0.000380503860024174	0	0.0395010395010395
83655	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata	0.0336538461538462	0	0	0.000100853537561466	0	0.00442477876106195
358220	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KKS102	0.0865384615384615	0	0	0.00124721421795434	0	0.112107623318386
305	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	0.177884615384615	0	0	0.0021636536877586	0	0.0657276995305164
47885	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas oryzihabitans	0.0144230769230769	0	0	9.90794898471729e-05	0	0.0124740124740125
150055	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis	0.0336538461538462	0	0	0.000229343275791229	0	0.016597510373444
